start_time,end_time,mem_used
11 Oct 21:55:55.014,11 Oct 21:55:55.116,4MB
11 Oct 22:00:56.076,11 Oct 22:00:56.178,4MB
11 Oct 22:05:57.004,11 Oct 22:05:57.106,4MB
11 Oct 22:10:58.068,11 Oct 22:10:58.271,4MB
11 Oct 22:15:59.094,11 Oct 22:15:59.196,4MB
11 Oct 22:21:00.026,11 Oct 22:21:00.128,4MB
11 Oct 22:26:01.074,11 Oct 22:26:01.177,4MB
11 Oct 22:31:02.027,11 Oct 22:31:02.130,4MB
11 Oct 22:36:03.069,11 Oct 22:36:03.272,4MB
11 Oct 22:41:04.020,11 Oct 22:41:04.222,4MB
11 Oct 22:46:05.050,11 Oct 22:46:05.152,4MB
11 Oct 22:51:06.091,11 Oct 22:51:06.194,4MB
11 Oct 22:56:07.036,11 Oct 22:56:07.138,4MB
11 Oct 23:01:08.067,11 Oct 23:01:08.471,4MB
11 Oct 23:06:09.017,11 Oct 23:06:09.119,4MB
11 Oct 23:11:10.044,11 Oct 23:11:10.247,4MB
11 Oct 23:16:11.086,11 Oct 23:16:11.589,4MB
11 Oct 23:21:12.026,11 Oct 23:21:12.128,4MB
11 Oct 23:26:13.057,11 Oct 23:26:13.258,4MB
11 Oct 23:31:14.006,11 Oct 23:31:14.109,4MB
11 Oct 23:36:15.049,11 Oct 23:36:15.254,4MB
11 Oct 23:41:16.086,11 Oct 23:41:16.188,4MB
11 Oct 23:46:17.004,11 Oct 23:46:17.206,4MB
11 Oct 23:51:18.044,11 Oct 23:51:18.247,4MB
11 Oct 23:56:19.071,11 Oct 23:56:19.173,4MB
12 Oct 00:01:20.036,12 Oct 00:01:20.138,4MB
12 Oct 00:06:21.069,12 Oct 00:06:21.173,4MB
12 Oct 00:11:22.007,12 Oct 00:11:22.108,4MB
12 Oct 00:16:23.039,12 Oct 00:16:23.141,4MB
12 Oct 00:21:24.083,12 Oct 00:21:24.185,4MB
12 Oct 00:26:25.055,12 Oct 00:26:25.158,4MB
12 Oct 00:31:26.087,12 Oct 00:31:26.189,4MB
12 Oct 00:36:27.020,12 Oct 00:36:27.122,4MB
12 Oct 00:41:28.082,12 Oct 00:41:28.284,4MB
12 Oct 00:46:29.037,12 Oct 00:46:29.239,4MB
12 Oct 00:51:30.072,12 Oct 00:51:30.173,4MB
12 Oct 00:56:31.018,12 Oct 00:56:31.220,4MB
12 Oct 01:01:32.076,12 Oct 01:01:32.178,4MB
12 Oct 01:06:33.018,12 Oct 01:06:33.121,4MB
12 Oct 01:11:34.072,12 Oct 01:11:34.174,4MB
12 Oct 01:16:35.008,12 Oct 01:16:35.210,4MB
12 Oct 01:21:36.022,12 Oct 01:21:36.225,4MB
12 Oct 01:26:37.068,12 Oct 01:26:37.173,4MB
12 Oct 01:31:38.088,12 Oct 01:31:38.190,4MB
12 Oct 01:36:39.001,12 Oct 01:36:39.405,4MB
12 Oct 01:41:40.047,12 Oct 01:41:40.149,4MB
12 Oct 01:46:41.078,12 Oct 01:46:41.182,4MB
12 Oct 01:51:42.033,12 Oct 01:51:42.938,5MB
12 Oct 01:56:43.077,12 Oct 01:56:43.179,4MB
12 Oct 02:01:44.015,12 Oct 02:01:44.218,4MB
12 Oct 02:06:45.047,12 Oct 02:06:45.149,4MB
12 Oct 02:11:46.030,12 Oct 02:11:46.333,4MB
12 Oct 02:16:47.054,12 Oct 02:16:47.159,4MB
12 Oct 02:21:48.014,12 Oct 02:21:48.116,4MB
12 Oct 02:26:49.088,12 Oct 02:26:49.190,4MB
12 Oct 02:31:50.038,12 Oct 02:31:50.141,4MB
12 Oct 02:36:51.077,12 Oct 02:36:51.279,4MB
12 Oct 02:41:52.035,12 Oct 02:41:52.136,4MB
12 Oct 02:46:53.087,12 Oct 02:46:53.189,4MB
12 Oct 02:51:54.054,12 Oct 02:51:54.155,4MB
12 Oct 02:56:55.085,12 Oct 02:56:55.188,4MB
12 Oct 03:01:56.012,12 Oct 03:01:56.115,4MB
12 Oct 03:06:57.073,12 Oct 03:06:57.175,4MB
12 Oct 03:11:58.005,12 Oct 03:11:58.107,4MB
12 Oct 03:16:59.068,12 Oct 03:16:59.171,4MB
12 Oct 03:22:00.011,12 Oct 03:22:00.214,4MB
12 Oct 03:27:01.087,12 Oct 03:27:01.189,4MB
12 Oct 03:32:02.033,12 Oct 03:32:02.134,4MB
12 Oct 03:37:03.072,12 Oct 03:37:03.175,4MB
12 Oct 03:42:04.033,12 Oct 03:42:04.236,4MB
12 Oct 03:47:05.062,12 Oct 03:47:05.264,4MB
12 Oct 03:52:06.010,12 Oct 03:52:06.111,4MB
12 Oct 03:57:07.031,12 Oct 03:57:07.133,4MB
12 Oct 04:02:08.064,12 Oct 04:02:08.266,4MB
12 Oct 04:07:09.031,12 Oct 04:07:09.233,4MB
12 Oct 04:12:10.060,12 Oct 04:12:10.162,4MB
12 Oct 04:17:11.087,12 Oct 04:17:11.292,4MB
12 Oct 04:22:12.018,12 Oct 04:22:12.120,4MB
12 Oct 04:27:13.045,12 Oct 04:27:13.147,4MB
12 Oct 04:32:14.053,12 Oct 04:32:14.256,4MB
12 Oct 04:37:15.097,12 Oct 04:37:15.298,4MB
12 Oct 04:42:16.010,12 Oct 04:42:16.314,4MB
12 Oct 04:47:17.051,12 Oct 04:47:17.254,4MB
12 Oct 04:52:18.004,12 Oct 04:52:18.210,4MB
12 Oct 04:57:19.053,12 Oct 04:57:19.155,4MB
12 Oct 05:02:20.093,12 Oct 05:02:20.195,4MB
12 Oct 05:07:21.042,12 Oct 05:07:21.145,4MB
12 Oct 05:12:22.070,12 Oct 05:12:22.877,5MB
12 Oct 05:17:23.013,12 Oct 05:17:23.115,4MB
12 Oct 05:22:24.079,12 Oct 05:22:24.181,4MB
12 Oct 05:27:25.022,12 Oct 05:27:25.125,4MB
12 Oct 05:32:26.058,12 Oct 05:32:26.461,4MB
12 Oct 05:37:27.004,12 Oct 05:37:27.106,4MB
12 Oct 05:42:28.035,12 Oct 05:42:28.236,4MB
12 Oct 05:47:29.066,12 Oct 05:47:29.271,4MB
12 Oct 05:52:30.033,12 Oct 05:52:30.236,4MB
12 Oct 05:57:31.068,12 Oct 05:57:31.271,4MB
