time,levle,msg
2015-10-19 13:46:21,[Warning],"Too many connections"
2015-10-19 13:46:21,[Warning],"Too many connections"
2015-10-19 13:46:26,[Warning],"Too many connections"
2015-10-19 13:46:26,[Warning],"Too many connections"
2015-10-19 13:46:26,[Warning],"Too many connections"
2015-10-19 13:46:31,[Warning],"Too many connections"
2015-10-19 13:46:31,[Warning],"Too many connections"
2015-10-19 13:46:31,[Warning],"Too many connections"
2015-10-19 13:46:31,[Warning],"Too many connections"
2015-10-19 13:46:36,[Warning],"Too many connections"
2015-10-19 13:46:36,[Warning],"Too many connections"
2015-10-19 13:46:36,[Warning],"Too many connections"
2015-10-19 13:46:41,[Warning],"Too many connections"
2015-10-19 13:46:41,[Warning],"Too many connections"
2015-10-19 13:46:46,[Warning],"Too many connections"
2015-10-19 13:46:46,[Warning],"Too many connections"
2015-10-19 13:46:46,[Warning],"Too many connections"
2015-10-19 13:46:46,[Warning],"Too many connections"
2015-10-19 13:46:51,[Warning],"Too many connections"
2015-10-19 13:46:51,[Warning],"Too many connections"
2015-10-19 13:46:51,[Warning],"Too many connections"
2015-10-19 13:46:51,[Warning],"Too many connections"
2015-10-19 13:46:56,[Warning],"Too many connections"
2015-10-19 13:46:56,[Warning],"Too many connections"
2015-10-19 13:46:56,[Warning],"Too many connections"
2015-10-19 13:47:01,[Warning],"Too many connections"
2015-10-19 13:47:01,[Warning],"Too many connections"
2015-10-19 13:47:01,[Warning],"Too many connections"
2015-10-19 13:47:01,[Warning],"Too many connections"
2015-10-19 13:47:06,[Warning],"Too many connections"
2015-10-19 13:47:06,[Warning],"Too many connections"
2015-10-19 13:47:06,[Warning],"Too many connections"
2015-10-19 13:47:06,[Warning],"Too many connections"
2015-10-19 13:47:11,[Warning],"Too many connections"
2015-10-19 13:47:11,[Warning],"Too many connections"
2015-10-19 13:47:11,[Warning],"Too many connections"
2015-10-19 13:47:17,[Warning],"Too many connections"
2015-10-19 13:47:17,[Warning],"Too many connections"
2015-10-19 13:47:22,[Warning],"Too many connections"
2015-10-19 13:47:22,[Warning],"Too many connections"
